"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_12861&withRelationships=true&charts=0_Orion.Nodes_12861-Orion.PerfStack.Alerts;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-TIGOUNE","Alerts",2022-01-20 21:54:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-20 21:54:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-20 21:54:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-21 03:48:00,2,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-21 03:48:00,2,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-21 03:48:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-21 09:42:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-21 09:42:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-21 09:42:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-21 15:36:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-21 15:36:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-21 15:36:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-21 21:30:00,1,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-21 21:30:00,1,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-21 21:30:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-22 03:24:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-22 03:24:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-22 03:24:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-22 09:18:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-22 09:18:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-22 09:18:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-22 15:12:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-22 15:12:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-22 15:12:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-22 21:06:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-22 21:06:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-22 21:06:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-23 03:00:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-23 03:00:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-23 03:00:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-23 08:54:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-23 08:54:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-23 08:54:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-23 14:48:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-23 14:48:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-23 14:48:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-23 20:42:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-23 20:42:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-23 20:42:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-24 02:36:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-24 02:36:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-24 02:36:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-24 08:30:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-24 08:30:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-24 08:30:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-24 14:24:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-24 14:24:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-24 14:24:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-24 20:18:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-24 20:18:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-24 20:18:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-25 02:12:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-25 02:12:00,3,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-25 02:12:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-25 08:06:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-25 08:06:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-25 08:06:00,0,,
"RNEC-TIGOUNE","Alerts",2022-01-25 14:00:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Node is down was triggered.",2022-01-25 14:00:00,0,"RNEC-TIGOUNE","RNEC-TIGOUNE:Empresa: Registraduria Nacional del Estado Civil
Nombre del Dispositivo: RNEC-TIGOUNE     
Fecha y hora: Wednesday, January 26, 2022 9:00 a.m.
IPAddress: 172.20.60.88
Alarma: DEVICE HAS STOPPED RESPONDING TO POLLS.
Severity: Critical
Descripcion: Device RNEC-TIGOUNE of type Windows has stopped responding to polls and/or external requests. An alarm will be generated.

PROBABLE CAUSES:

1) Device Hardware Failure.
2) Cable between this and upstream device broken.
3) Power Failure.
4) Incorrect Network Address.
5) Device Firmware Failure.

RECOMMENDED ACTIONS:
1) Check power to device.
2) Verify status lights on device.
3) Verify reception of packets.
4) Verify network address in device
5) Cycle power on device and recheck.
6) If above fails, call repair.",2022-01-25 14:00:00,0,,
